Date,^DJI,^IXIC
2024-01-05,37466.109375,14524.0703125
2024-01-08,37683.01171875,14843.76953125
2024-01-12,37592.98046875,14972.759765625
2024-01-19,37863.80078125,15310.9697265625
2024-01-22,38001.80859375,15360.2900390625
2024-01-26,38109.4296875,15455.3603515625
2024-01-29,38333.44921875,15628.0400390625
2024-02-02,38654.421875,15628.9501953125
2024-02-05,38380.12109375,15597.6796875
2024-02-09,38671.69140625,15990.66015625
2024-02-12,38797.37890625,15942.5498046875
2024-02-16,38627.98828125,15775.650390625
2024-02-23,39131.53125,15996.8203125
2024-02-26,39069.23046875,15976.25
2024-03-01,39087.37890625,16274.9404296875
2024-03-04,38989.828125,16207.509765625
2024-03-08,38722.69140625,16085.1103515625
2024-03-11,38769.66015625,16019.26953125
2024-03-15,38714.76953125,15973.169921875
2024-03-18,38790.4296875,16103.4501953125
2024-03-22,39475.8984375,16428.8203125
2024-03-25,39313.640625,16384.470703125
2024-04-01,39566.8515625,16396.830078125
2024-04-05,38904.0390625,16248.51953125
2024-04-08,38892.80078125,16253.9599609375
2024-04-12,37983.23828125,16175.08984375
2024-04-15,37735.109375,15885.01953125
2024-04-19,37986.3984375,15282.009765625
2024-04-22,38239.98046875,15451.3095703125
2024-04-26,38239.66015625,15927.900390625
2024-04-29,38386.08984375,15983.080078125
2024-05-03,38675.6796875,16156.330078125
2024-05-06,38852.26953125,16349.25
2024-05-10,39512.83984375,16340.8701171875
2024-05-13,39431.51171875,16388.240234375
2024-05-17,40003.58984375,16685.970703125
2024-05-20,39806.76953125,16794.869140625
2024-05-24,39069.58984375,16920.7890625
2024-05-31,38686.3203125,16735.01953125
2024-06-03,38571.03125,16828.669921875
2024-06-07,38798.98828125,17133.130859375
2024-06-10,38868.0390625,17192.529296875
2024-06-14,38589.16015625,17688.880859375
2024-06-17,38778.1015625,17857.01953125
2024-06-21,39150.328125,17689.359375
2024-06-24,39411.2109375,17496.8203125
2024-06-28,39118.859375,17732.599609375
2024-07-01,39169.51953125,17879.30078125
2024-07-05,39375.87109375,18352.759765625
2024-07-08,39344.7890625,18403.740234375
2024-07-12,40000.8984375,18398.44921875
2024-07-15,40211.71875,18472.5703125
2024-07-19,40287.53125,17726.939453125
2024-07-22,40415.44140625,18007.5703125
2024-07-26,40589.33984375,17357.880859375
2024-07-29,40539.9296875,17370.19921875
